County,Moore_percentage,Hogan_percentage
Allegany,30.556618209640398,81.75554988517479
Anne Arundel,52.61669445105978,68.64146642854959
Baltimore City,88.04382553944221,31.628864861935348
Baltimore County,60.5768163678414,61.14499104993519
Calvert,42.40564773167317,75.42219618431443
Caroline,31.57590361445783,82.52021914949125
Carroll,37.74986493787142,83.25333973282137
Cecil,31.252472221223343,77.49112358263658
Charles,67.49006702251475,49.369587861262694
Dorchester,39.91724137931035,74.48013593332794
Frederick,52.09660915639215,67.71183277342291
Garrett,21.87414625261816,86.10126352149805
Harford,42.39193622057053,77.16584606473101
Howard,69.29184709262371,56.23848344407839
Kent,51.719528496779674,73.28578002761161
Montgomery,77.41679333119764,44.113517235633296
Prince George's,88.8016066080143,28.215659573399936
Queen Anne's,38.69614256711031,84.95818086774699
Saint Mary's,39.4870667143132,NA
Somerset,35.098100280286516,67.69450949778819
Talbot,50.01565141175735,77.44046636968596
Washington,36.99932554445967,76.88722281724782
Wicomico,44.02350227092495,67.61862130707252
Worcester,37.93593042860946,76.13191256370298
